Job Title;Company;Experience;Salary;Link
Business Intelligence аналитик;AIR ASTANA, АО;Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108773136?hhtmFrom=vacancy_search_list
Аналитик данных;ТОО Новатор Фарма;Без опыта;150 000 – 350 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108099723?hhtmFrom=vacancy_search_list
Системный администратор;ТОО QALANKZ;Без опыта;300 000 – 400 000 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/108396151?hhtmFrom=vacancy_search_list
Системный администратор;ИП NOVO-e;Опыт 3-6 лет;350 000 – 430 000 ₸ на руки;https://almaty.hh.kz/vacancy/108770141?hhtmFrom=vacancy_search_list
Technical Support Specialist;ТОО Samsung Electronics Central Eurasia LLP.;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108766916?hhtmFrom=vacancy_search_list
Helpdesk / Системный администратор;ТОО Монста;Без опыта;от 350 000 ₸ на руки;https://almaty.hh.kz/vacancy/108333479?hhtmFrom=vacancy_search_list
Руководитель IT-отдела;ТОО Staff-UP Consulting Group;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108809241?hhtmFrom=vacancy_search_list
Frontend-разработчик;ТОО Jet Finance (ТОО Mogo Kazakhstan);Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108461117?hhtmFrom=vacancy_search_list
Системный администратор;ТОО Центр Правильного Сна;Опыт 1-3 года;350 000 – 500 000 ₸ на руки;https://almaty.hh.kz/vacancy/108250019?hhtmFrom=vacancy_search_list
Младший специалист технической поддержки;ТОО One technologies;Без опыта;Not specified;https://almaty.hh.kz/vacancy/108653784?hhtmFrom=vacancy_search_list
IT-специалист;ТОО INVITRO (ТОО ИНВИТРО-Казахстан);Опыт 1-3 года;280 000 – 280 000 ₸ на руки;https://almaty.hh.kz/vacancy/108801321?hhtmFrom=vacancy_search_list
Data Engineer;METRO Cash&Carry (Kazakhstan);Опыт 1-3 года;Not specified;https://almaty.hh.kz/vacancy/108674647?hhtmFrom=vacancy_search_list
Data Analyst;ТОО PAYPLUS;Опыт 3-6 лет;Not specified;https://almaty.hh.kz/vacancy/108693113?hhtmFrom=vacancy_search_list
Модератор ленты заказов;ТОО inDrive;Без опыта;до 123 100 ₸ до вычета налогов;https://almaty.hh.kz/vacancy/107870214?hhtmFrom=vacancy_search_list
Analyst;Finstar Financial Group;Опыт 1-3 года;от 2 000 $ на руки;https://almaty.hh.kz/vacancy/108585201?hhtmFrom=vacancy_search_list
Middle / Middle+ Python разработчик;ООО FOM GROUP;Опыт 3-6 лет;от 1 700 $ на руки;https://almaty.hh.kz/vacancy/108518926?hhtmFrom=vacancy_search_list
